S. No.,Category,First name,Last name,Date of birth,M/F,email,phone,"Mentored by whom (first name, last name)"
1,student,fname1,lname1,dob1,M,email1,ph1,mnt1
2,student,fname2,lname2,dob2,M,email2,ph2,mnt2
3,student,fname3,lname3,dob3,M,email3,ph3,mnt3
4,student,fname4,lname4,dob4,M,email4,ph4,mnt4
5,student,fname5,lname5,dob5,M,email5,ph5,mnt5
6,student,fname6,lname6,dob6,M,email6,ph6,mnt6
7,student,fname7,lname7,dob7,M,email7,ph7,mnt7
8,student,fname8,lname8,dob8,M,email8,ph8,mnt8
9,student,fname9,lname9,dob9,M,email9,ph9,mnt9
10,student,fname10,lname10,dob10,M,email10,ph10,mnt10
11,student,fname11,lname11,dob11,M,email11,ph11,mnt11
12,student,fname12,lname12,dob12,M,email12,ph12,mnt12
13,student,fname13,lname13,dob13,M,email13,ph13,mnt13
14,student,fname14,lname14,dob14,M,email14,ph14,mnt14
15,student,fname15,lname15,dob15,M,email15,ph15,mnt15
16,student,fname16,lname16,dob16,M,email16,ph16,mnt16
17,student,fname17,lname17,dob17,M,email17,ph17,mnt17
18,student,fname18,lname18,dob18,M,email18,ph18,mnt18
19,student,fname19,lname19,dob19,M,email19,ph19,mnt19
20,student,fname20,lname20,dob20,M,email20,ph20,mnt20
21,student,fname21,lname21,dob21,M,email21,ph21,mnt21
22,student,fname22,lname22,dob22,M,email22,ph22,mnt22
23,student,fname23,lname23,dob23,M,email23,ph23,mnt23
24,student,fname24,lname24,dob24,M,email24,ph24,mnt24
