S. No.,Apellation,First name,Last name,Designation,Organisation,email,phone,"Mentoring whom (first name, last name)"
1,student,fname1,lname1,dg1,org1,email1,ph1,mnt1
2,student,fname2,lname2,dg2,org2,email2,ph2,mnt2
3,student,fname3,lname3,dg3,org3,email3,ph3,mnt3
4,student,fname4,lname4,dg4,org4,email4,ph4,mnt4
5,student,fname5,lname5,dg5,org5,email5,ph5,mnt5
6,student,fname6,lname6,dg6,org6,email6,ph6,mnt6
7,student,fname7,lname7,dg7,org7,email7,ph7,mnt7
8,student,fname8,lname8,dg8,org8,email8,ph8,mnt8
9,student,fname9,lname9,dg9,org9,email9,ph9,mnt9
10,student,fname10,lname10,dg10,org10,email10,ph10,mnt10
11,student,fname11,lname11,dg11,org11,email11,ph11,mnt11
12,student,fname12,lname12,dg12,org12,email12,ph12,mnt12
13,student,fname13,lname13,dg13,org13,email13,ph13,mnt13
14,student,fname14,lname14,dg14,org14,email14,ph14,mnt14
15,student,fname15,lname15,dg15,org15,email15,ph15,mnt15
16,student,fname16,lname16,dg16,org16,email16,ph16,mnt16
17,student,fname17,lname17,dg17,org17,email17,ph17,mnt17
18,student,fname18,lname18,dg18,org18,email18,ph18,mnt18
19,student,fname19,lname19,dg19,org19,email19,ph19,mnt19
20,student,fname20,lname20,dg20,org20,email20,ph20,mnt20
21,student,fname21,lname21,dg21,org21,email21,ph21,mnt21
22,student,fname22,lname22,dg22,org22,email22,ph22,mnt22
23,student,fname23,lname23,dg23,org23,email23,ph23,mnt23
24,student,fname24,lname24,dg24,org24,email24,ph24,mnt24
