S. No.,Category,First name,Last name,Date of birth,M/F,email,phone,Performance remarks
1,student,fname1,lname1,dob1,m,email1,ph1,remark1
2,non-student,fname2,lname2,dob2,m,email2,ph2,remark2
3,student,fname3,lname3,dob3,m,email3,ph3,remark3
4,non-student,fname4,lname4,dob4,m,email4,ph4,remark4
5,student,fname5,lname5,dob5,m,email5,ph5,remark5
6,non-student,fname6,lname6,dob6,m,email6,ph6,remark6
7,student,fname7,lname7,dob7,m,email7,ph7,remark7
8,non-student,fname8,lname8,dob8,m,email8,ph8,remark8
9,student,fname9,lname9,dob9,m,email9,ph9,remark9
10,non-student,fname10,lname10,dob10,m,email10,ph10,remark10
11,student,fname11,lname11,dob11,m,email11,ph11,remark11
12,non-student,fname12,lname12,dob12,m,email12,ph12,remark12
13,student,fname13,lname13,dob13,m,email13,ph13,remark13
14,non-student,fname14,lname14,dob14,m,email14,ph14,remark14
15,student,fname15,lname15,dob15,m,email15,ph15,remark15
16,non-student,fname16,lname16,dob16,m,email16,ph16,remark16
17,non-student,fname17,lname17,dob17,m,email17,ph17,remark17
18,non-student,fname18,lname18,dob18,m,email18,ph18,remark18
19,non-student,fname19,lname19,dob19,m,email19,ph19,remark19
20,non-student,fname20,lname20,dob20,m,email20,ph20,remark20
21,non-student,fname21,lname21,dob21,m,email21,ph21,remark21
22,non-student,fname22,lname22,dob22,m,email22,ph22,remark22
